"Name","Degree","Annotation"
"motif_152","1297","Loss of methyl group – indicative for presence of methoxy [O-CH3], methylsulfyl [S-CH3], or methylgroup connected to aromatic ring system"
"motif_236","1078","None"
"motif_193","1055","None"
"motif_47","959","None"
"motif_246","946","None"
"motif_168","835","None"
"motif_87","829","None"
"motif_92","713","None"
"motif_118","692","None"
"motif_12","668","Fragment indicative for aromatic compounds related to methylbenzene substructure (C7H7 fragment)"
"motif_94","647","None"
"motif_115","537","None"
"motif_283","511","Benzene (C6H6)"
"motif_147","505","None"
"motif_55","462","None"
"motif_262","455","None"
"motif_93","433","None"
"motif_254","411","None"
"motif_143","404","None"
"motif_250","388","None"
"motif_181","387","None"
"motif_16","380","None"
"motif_133","377","None"
"motif_161","363","None"
"motif_244","359","None"
"motif_126","336","Mass2Motif related to methoxylated benzene ring"
"motif_106","333","None"
"motif_80","325","None"
"motif_258","298","None"
"motif_72","283","None"
"motif_25","281","None"
"motif_231","266","Fragments indicative for dihydroxylated benzene ring substructure (MzCloud) – C6H5O2 fragment corresponds to positively charged fragment with two hydroxyl groups."
"motif_52","266","None"
"motif_216","246","None"
"motif_159","243","None"
"motif_128","242","None"
"motif_102","241","None"
"motif_26","237","None"
"motif_178","220","None"
"motif_39","217","None"
"motif_33","212","None"
"motif_37","211","None"
"motif_141","208","None"
"motif_292","191","None"
"motif_165","183","Small nitrogen containing fragment ion – often proline or ornithine derived – most abundant fragment in beer data"
"motif_70","171","None"
"motif_121","165","None"
"motif_281","163","None"
"motif_22","156","None"
"motif_209","155","Fragment ions indicative for alkylamine substructure C5H10N (in beer often pipecolic acid [pipecolate])"
"motif_137","151","possible N-methylethanamine ,Propyl-amine fragment (C3H9N)"
"motif_210","146","None"
"motif_85","145","None"
"motif_279","144","Fragment indicative for aromatic compounds related to methylbenzene substructure (C7H7 fragment)"
"motif_177","139","None"
"motif_223","139","None"
"motif_151","139","None"
"motif_96","135","None"
"motif_211","134","None"
"motif_182","134","None"
"motif_23","129","None"
"motif_169","128","None"
"motif_251","128","None"
"motif_187","124","None"
"motif_76","120","Fragments indicative for [phenylalanine-CHOOH] based substructure"
"motif_61","119","None"
"motif_145","116","None"
"motif_257","114","None"
"motif_190","109","None"
"motif_225","109","None"
"motif_293","104","None"
"motif_176","99","None"
"motif_15","91","Benzaldehyde (105.0325) fragment C7H6O"
"motif_27","84","Fragments indicative for ethylphenol (i.e. resulting from Tyramine in beer) or the structurally related paramethylmethoxybenzene (MassBank) substructure"
"motif_227","79","None"
"motif_0","78","None"
"motif_206","78","None"
"motif_40","72","None"
"motif_198","71","None"
"motif_58","71","None"
"motif_201","68","None"
"motif_186","56","None"
"motif_290","56","None"
"motif_202","56","None"
"motif_212","55","None"
"motif_153","54","None"
"motif_100","53","None"
"motif_63","52","None"
